,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
1,2188,TOP,33,21.2%,1.7,2.1,2.8,2.9,8.1,376,21.4,385,0.95,0.45,0.17,0.15,244,7,111,0%,6.1%,0,7
2,369,TOP,84,65.5%,3,2.7,2.6,5,8.3,404,24.3,451,0.95,0.40,0.19,0.15,1334,13,149,2.4%,0%,0,1
3,3z,TOP,91,54.9%,2.6,2.3,2.4,4.2,8.3,387,22.2,379,0.99,0.48,0.17,0.19,-23,3,68,17.6%,11%,0,29
4,4LaN,ADC,4,25%,4,3.5,1.5,2.5,10.5,448,24.6,413,1.30,0.46,0.29,0.19,684,36,506,50%,0%,0,-
5,4LaN,JUNGLE,7,28.6%,1.3,1.1,4.1,4.3,5.5,312,19.8,306,1.80,0.83,0.31,0.43,-452,1,-26,28.6%,28.6%,0,1
6,957,TOP,1,0%,1.3,1,3,3,8,333,31.5,518,-,0.51,0.15,0.18,-,-,-,0%,0%,0,-
7,ADD,TOP,84,56%,3.2,2.6,2.6,5.7,7.6,377,24.1,466,-,0.54,0.25,0.21,-,-,-,0%,0%,0,-
8,AHaHaCiK,JUNGLE,70,67.1%,3.2,2.8,3,6.5,4.9,340,15.7,294,1.61,0.65,0.34,0.28,243,-2,4,47.1%,5.7%,0,10
9,Abbedagge,MID,51,51%,3.3,3.2,2.6,5.2,8.8,402,26.3,473,1.04,0.48,0.20,0.23,-235,-6,-110,15.7%,11.8%,0,12
10,Ablazeolive,MID,50,60%,5.2,4.1,2,6.5,8.8,422,29.6,595,1.05,0.39,0.24,0.21,181,4,74,22%,4%,0,18
11,Abou222,SUPPORT,4,25%,2.9,1.3,3.8,9.8,1.6,249,7.3,157,2.44,1.53,0.29,0.40,-712,-6,-646,0%,0%,0,2
12,Absolute,SUPPORT,2,50%,4.1,2.5,4,14,0.9,238,9.2,206,2.05,1.03,0.28,0.34,-585,-14,-836,50%,0%,0,-
13,Acce,TOP,57,54.4%,3,2.1,2.1,4.1,8,373,19.2,334,0.99,0.48,0.17,0.21,-172,2,151,10.5%,10.5%,0,9
14,Ace,MID,50,52%,4.5,2.6,1.7,5.3,7.7,365,21.1,363,1.10,0.50,0.26,0.22,-92,-7,-96,22%,4%,0,14
15,Acefos,TOP,26,65.4%,2.4,2.5,3.5,5.8,7.5,387,23.0,469,0.86,0.40,0.15,0.08,100,-2,-3,26.9%,11.5%,0,10
16,Achuu,ADC,10,30%,3,2.9,2.2,3.7,8.7,396,31.2,574,1.12,0.45,0.27,0.17,-622,-13,-622,30%,10%,0,2
17,Acidy,TOP,52,69.2%,3.4,2.6,2.6,6.3,7,363,20.0,421,1.21,0.62,0.21,0.31,32,-2,-112,9.6%,13.5%,0,23
18,Adept,MID,19,42.1%,1.7,1.9,3.4,3.8,8,368,22.0,346,0.95,0.45,0.15,0.22,-125,-6,-298,10.5%,26.3%,0,2
19,Adiss,TOP,34,41.2%,2.5,2.4,2.7,4.2,7.7,372,22.4,385,0.81,0.38,0.11,0.12,25,5,259,8.8%,17.6%,0,11
20,Adm,MID,10,30%,3,2.2,2.1,4.1,8.2,365,26.9,478,0.93,0.53,0.14,0.27,-540,-7,-331,20%,10%,0,1
